zeile,sonnenschutzvorrichtung,f_c_g_le_0_40_zweifach,f_c_g_le_0_40_dreifach,f_c_g_gt_0_40_zweifach
1,ohne Sonnenschutzvorrichtung,1,1,1
2.1,weiß oder hoch reflektierende Oberflächen mit geringer Transparenz,0.65,0.7,0.65
2.2,helle Farben oder geringe Transparenz,0.75,0.8,0.75
2.3,dunkle Farben oder höhere Transparenz,0.9,0.9,0.85
3.1.1,"Fensterläden, Rollläden, ¾ geschlossen",0.35,0.3,0.3
3.1.2,"Fensterläden, Rollläden, geschlossen",0.15,0.1,0.1
3.2.1,"Jalousie und Raffstore, drehbare Lamellen, 45° Lamellenstellung",0.3,0.25,0.25
3.2.2,"Jalousie und Raffstore, drehbare Lamellen, 10° Lamellenstellung",0.2,0.15,0.15
3.3,"Markise, parallel zur Verglasung",0.3,0.25,0.25
3.4,"Vordächer, Markisen allgemein, freistehende Lamellen",0.55,0.5,0.5
